date,developerResponse,review,rating,userName,title,review_processed,Topic_Class,Topic_Perc_Contrib,Reason
2023-10-20 03:05:29,"{'id': 40352731, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Care Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -RY', 'modified': '2023-11-27T04:09:08Z'}",Update mulu perasaan tapi setiap buka lemot,2,Bisanisanya12,Hadeh,update mulu asa buka lot,1,0.8576,tidak bisa login atau update data
2022-02-18 10:02:19,"{'id': 28173337, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -Iwan', 'modified': '2022-02-21T14:29:37Z'}","Bisa log in namun tidak bisa cek saldo, melakukan pengkinian data. Tidak bisa membuka RSJHT. Overall fiture aplikasi belum bisa digunakan.",1,mizu-90,Menu aplikasi tidak bisa digunakan,log in cek saldo data buka rsjht overall fiture aplikasi,1,0.9007,tidak bisa login atau update data
2022-07-29 08:29:08,"{'id': 41238045, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -Iqbal.\r\n', 'modified': '2024-01-12T03:05:10Z'}","Dear bpjs, kalo emang developer nya kurang mumpuni buat bikin fitur verifikasi biometrik mending jangan bikin dulu, daripada mempersulit orang
Atau emang ini trik untuk mempersulit klaim? Entahlah",1,hprasetyou,Verifikasi biometrik,dear bpjs emang developer mumpuni daftar fitur verifikasi biometrik mending daftar sulit emang trik sulit klaim,2,0.5549,tidak bisa login atau daftar
2022-02-06 10:15:36,"{'id': 28175685, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -Iwan', 'modified': '2022-02-21T16:07:16Z'}","Input my email and password, also reset the password to make sure it’s right. But still, can’t login",1,rmahendra,Problem with login,input my email and password also reset the password to make sure it right but still buka,2,0.6007,tidak bisa login atau daftar
2022-06-15 17:02:33,"{'id': 30907614, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan. Terimakasih telah menggunakan aplikasi JMO (Jamsostek Mobile), penilaian Sahabat sangat penting untuk peningkatan layanan kami. Apabila membutuhkan informasi, permintaan atau keluhan dapat menghubungi Care Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -IO', 'modified': '2022-07-15T10:01:57Z'}","Ini pake vendor mana si, ga lulus testing langsung di release apa gimana?",1,Boysmtv,Coba Perbaiki,pake vendor si lulus testing release gimana,2,0.4854,tidak bisa login atau daftar
2022-02-09 04:05:36,"{'id': 28175488, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -Iwan', 'modified': '2022-02-21T15:57:54Z'}",Apakah harus buat email dan kata sandi baru lagi di aplikasi baru ini? Log in koq gak bisa terus. Harusnya sama dengan app lama supaya tidak merepotkan pengguna.,1,Vinceluck,Email,email sandi aplikasi log in koq aplikasi repot,2,0.6187,tidak bisa login atau daftar
2022-05-20 19:43:04,"{'id': 30908008, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Care Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -IO', 'modified': '2022-07-15T10:19:40Z'}","BUMN kok bikin aplikasi kaya gini, bisa login tapi gak bisa cek apa2. Anggaran aplikasinya di korup apa gak becus cari Developer?",1,Youghhie,Dev gak becus,bumn daftar aplikasi kaya gin buka cek anggar aplikasi korup becus cari developer,2,0.7197,tidak bisa login atau daftar
2022-09-25 04:04:16,"{'id': 41089258, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, perihal gagal biometrik dengan tujuan klaim Jaminan Hari Tua (JHT) melalui aplikasi Jamsostek Mobile (JMO) maka akan muncul notifikasi yang mengarahkan klaim melalui Lapak Asik. Silakan Bapak/Ibu mengajukan klaim JHT melalui fitur tersebut dengan klik menu Lapak Asik, meskipun saldo dibawah Rp10.000.000,-. -VD', 'modified': '2024-01-05T03:22:11Z'}","Tidak bisa melakukan pengkinian data sampai verifikasi biometrik sudah 3 kali karena selalu forcedclose aplikasi nya kecewa sih padahal ini aplikasi sangat penting menurut saya, tapi kok sistem nya kurang baik, mohon di perbaiki lagi untuk kedepan nya",1,nurfasya,Kecewa,data verifikasi biometrik forcedclose aplikasi kecewa sih aplikasi sistem,2,0.7718,tidak bisa login atau daftar
2022-02-16 23:18:01,"{'id': 28173438, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -Iwan', 'modified': '2022-02-21T14:33:21Z'}",Kenapa di app baru ini kartu lama yang belum dicairkan tidak tercantum???? Kartu dan saldonya hilang bukannya digabungkan ke kartu yang baru…,1,Tia_84,Saldo ilang,aplikasi kartu cair cantum kartu saldo hilang gabung kartu,0,0.9086,tidak bisa login atau check saldo
2022-02-15 10:36:29,"{'id': 28173690, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -Iwan', 'modified': '2022-02-21T14:44:46Z'}","Mau pengkinian data pas input no kartu malah dibilang no kartu belum terkonfirmasi 
Terus juga yg ke detect saldo di pt cuman 1 padahal harusnya ada beberapa yg bisa diliat no kartu dari 2019 sampai sekarang pt terakhir tetap sama danan yg terlihat bukan yg paling baru malah tahun2 sebelumnya gaada
Call center gaada yg respon dan ga ngasih solusi ini gimana niiii",1,auk pusing,Ga sesuai,data pas input no kartu bilang no kartu konfirmasi detect saldo pt cuman liat no kartu pt tahun gaada call center gaada respon ngasih solusi gimana niiii,1,0.7084,tidak bisa login atau update data
